latitude,longitude,reflectivity_dbz,rainfall_rate_mm_hr,rainfall_intensity_category,timestamp
24.67193,88.612817,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.069267,88.436372,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.7374,89.433039,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.63967,86.950325,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.504358,88.474505,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.50536,86.845358,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.542617,86.721353,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.267585,88.834903,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.947899,87.781495,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.318423,88.166389,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.410694,88.511053,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.003041,86.43067,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.930355,89.349441,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.817729,89.47892,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.938585,88.383688,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.501651,88.471032,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.393559,90.094736,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.351268,88.706452,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.017544,89.21688,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.881967,87.084001,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.699062,89.802123,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.486449,88.503193,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.437003,90.297436,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.748299,87.951158,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.549096,87.662219,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.97043,90.023463,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.44667,88.715545,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.920529,89.573381,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.400843,87.161348,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.196259,89.065492,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.478917,88.290158,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.393018,88.713726,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.786094,87.711529,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.201465,88.859854,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.744645,88.359758,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.419288,88.688371,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.002512,87.108767,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.889906,86.283937,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.905359,87.949835,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.5697,88.3697,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.962906,86.471901,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.238576,87.85939,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.683495,88.398175,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.455148,89.484854,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.151421,88.314349,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.18821,86.752201,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.232831,89.26385,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.592246,88.34351,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.802491,90.594915,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.256103,89.29285,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.210659,89.483988,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.017186,90.072565,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.873328,87.278722,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.956348,86.974814,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.603801,88.248719,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.961676,90.466339,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.353574,89.083674,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.233895,89.473716,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.942435,90.239091,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.379893,89.505022,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.851598,88.252256,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.764166,88.651428,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.51291,87.262221,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.86792,88.034151,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.995552,90.477715,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.146433,88.270354,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.493238,87.246561,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.387891,87.50644,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.015652,88.606106,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.674863,88.255685,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.652916,88.282597,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.747963,88.18292,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.088595,90.725597,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.950139,87.952666,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.801288,87.853122,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.459856,89.664936,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.446645,88.845797,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.600553,87.279503,60.0,328.354,Very Heavy,2025-04-27 00:22:33
