latitude,longitude,reflectivity_dbz,sweep_number,elevation_angle,rainfall_rate_mm_hr,rainfall_intensity_category,timestamp
22.790983,87.853045,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.801288,87.853122,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.950139,87.952666,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.087016,89.343455,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.725035,90.133954,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.141835,89.930051,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.965136,87.522061,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.482587,88.359791,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.430835,88.939671,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.35116,89.856935,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.151421,88.314349,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.266799,90.18356,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.904073,89.555425,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.32838,88.839014,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.427063,87.988974,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.77492,87.009887,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.244636,90.124756,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
20.622764,88.926721,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.345991,88.518796,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.886407,89.047417,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.138859,87.33303,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.267585,88.834903,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.930355,89.349441,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
24.584026,88.408357,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.75328,88.323635,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.619608,87.090926,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.066537,88.992409,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.507949,88.017266,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
